Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
1001,0,0,0,0,0,8,0,0,8,0,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,15,0,0,15,0,1,0,0,0,0
2001,0,0,0,0,0,0,0,0,113,0,0,0,0,1,1
2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,48,3,2,1,2,2,1
2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,637,0,0,0,0,1,1
2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3002,0,0,0,0,0,0,0,0,82,0,1,1,1,2,1
5020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
2013,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
2013,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
2013,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
2013,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
5015,0,0,0,0,0,0,0,0,653,0,0,0,0,1,1
6010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,481,0,0,0,0,1,1
2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,58,0,0,58,0,0,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6002,0,0,0,0,0,0,0,0,180,0,0,0,0,1,1
6002,0,0,0,0,0,0,0,0,121,0,0,0,0,1,1
6002,0,0,0,0,0,0,0,0,236,0,0,0,0,2,1
2013,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
5001,0,0,0,0,0,0,1,0,0,213,64,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0
5001,0,0,0,2,0,8,0,0,0,88,14,0,0,0,0
5001,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0
5001,0,0,0,0,0,0,83,0,41,7,14,4,8,13,1
5001,0,0,0,0,0,31,0,0,13,1,1,2,0,0,0
5001,0,0,6,10,12,17,0,0,4,316,164,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0
5001,0,0,0,0,0,0,3,0,0,25,1,0,0,0,0
5001,0,0,0,0,0,0,0,2,0,347,3,1,0,0,0
5001,0,0,0,20,0,11,0,0,7,5,2,0,0,0,0
5001,0,0,0,0,6,0,0,0,1,35,4,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
5001,30,13,7,2,4,27,14,8,17,75,409,84,0,0,0
5001,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5001,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0
